Animal Phen_1 Phen_2 Phen_3 Phen_4 Phen_5 Phen_6 Phen_7 Phen_8 Phen_9 Phen_10
8035 3.0573412921 1.1032451203 6.2540008519 3.5404477398 3.7756740524 3.0121733678 -0.8213091401 11.5207461286 6.6309677697 2.4215508699
8036 2.2625485797 3.7488744942 6.2050206527 7.7129541912 4.8529083764 5.6746037117 10.880086057 10.4144016823 9.5870163548 2.6937180798
8037 0.6984396922 3.8935109901 6.5820546453 5.3462586751 2.9602057854 3.8017163867 5.3100087385 8.622648937 7.4453685389 11.1488396195
8038 1.7013325389 1.4387380635 5.8185520102 5.5668864448 -2.1561403329 3.6231317247 2.9138367736 8.3103449058 2.3839907344 10.553773004
8039 2.825344885 3.3224315564 2.7444705659 8.7163872968 6.425165956 3.1565392249 8.4245992256 14.27531122 5.8617208281 7.5096138704
8040 2.4301382546 1.7800498756 7.7807203779 3.4004119502 4.6528748089 4.8008706193 6.7736730399 12.1766389129 7.0764819848 2.493824149
8041 2.7141868856 4.7784220292 7.3284222407 6.4316229225 5.7467735546 5.6207924669 9.629469725 17.0996047961 0.5246666075 4.3647112408
8042 2.444284541 2.347932291 5.6739345004 4.7334489768 1.5299503945 2.3841991695 8.1043941299 3.4854372427 4.7859901126 7.2627867968
8043 1.4591144117 4.345651175 4.1856031972 9.0114809897 3.8710891396 1.8335675799 1.4277876101 12.6753525356 5.2202672285 3.2968360074
8044 1.390849524 0.2373316998 2.6545611232 6.8555861553 5.3307340782 3.9249921191 2.2721257706 15.5483865984 17.0233517512 4.8916664195
8045 0.7797643874 2.8668887681 1.6590651575 6.0278516507 1.5911828511 4.7581599221 2.900462113 11.4052641118 6.8331322967 5.5180586976
8046 1.606588013 4.0767494395 5.8136243787 6.2814689674 6.3006227694 3.420686919 7.2694193544 11.0459990777 8.2198506473 -0.5297486852
8047 0.2112714451 2.9512445004 3.0205683275 4.7882070101 7.1282150757 5.5735084943 13.262513453 12.9029622529 9.9539962093 9.1201493146
8048 2.9249763956 6.2977578928 4.4504033297 5.2808626908 4.7953207671 6.1368470111 10.0788658223 15.4577566378 8.6405617291 0.2091215869
8049 1.9565179805 5.0047106598 5.0748333246 8.2501977911 6.0766067657 4.1896394369 3.1898542453 10.9975707299 5.2767805388 8.4425261865
8050 -0.5129446467 2.9543016474 4.249991099 6.5398876502 2.4769655407 5.9374239681 5.1904691754 11.1501184414 8.5690772514 9.2158906029
8051 0.8448021233 5.3377296371 3.5232166612 5.7030750988 6.2120816885 7.5935870014 4.0676353815 9.529798765 4.0670457539 9.1262541263
8052 2.7223849532 1.5717956796 7.8714650138 5.2409281845 8.516259831 7.1124875529 7.8417255498 10.4309709389 0.5656409046 9.2286554705
8053 2.2401238183 1.9095315791 2.5896485494 6.1743041359 0.388708481 3.7525319986 4.2610293346 13.5722262537 4.3549566053 3.257698054
8054 1.6445936835 4.5692800299 5.1792332038 6.4625518899 3.1186334307 2.5270928349 4.9366355483 12.1062771903 12.4155166344 9.0085220585
8055 1.9111956144 4.2878231301 3.6001204281 4.8847700403 3.7175689518 4.6809986517 9.2371160637 11.3574673812 8.354663729 3.5778215417
8056 1.763956853 3.9503303365 4.6117380114 2.7756645648 4.3905524977 6.2837779685 2.6750276389 16.7186169779 1.3246745647 6.6528469472
8057 1.9961303312 3.0572415618 4.3574510803 5.9498531452 2.9307304174 5.3296880636 7.3848668747 13.2467078237 9.2484980526 5.7245847534
8058 3.3003958553 4.2621461196 4.5637525737 8.3339467275 3.2140336551 4.9644875297 8.0024010164 12.1166594785 -2.857188182 10.5311177718
8059 0.8123418547 5.1636098102 7.7240056731 6.3519597348 2.7563505876 2.9716969588 4.3225687 10.1375259026 2.5081429354 4.8758935121
8060 0.2277706398 0.6122611096 3.4778116731 5.3558145025 4.7068799615 8.1737734137 4.2663555863 5.6995001777 3.4052693763 5.3127992037
8061 0.1729528197 1.7029812467 2.6864020094 4.7528258094 0.6874041382 1.111830171 1.7857092018 14.4976559268 7.0171348647 5.4050421231
8062 1.931567888 3.137806587 5.7332913162 3.6271677 6.4980823224 6.8790898859 15.4242189116 9.9910713678 12.6594068396 -1.9459259837
8063 3.3510748711 0.1186953865 7.4725935306 10.7330713839 6.2785607403 7.1277481691 7.8010725065 12.4739577312 8.3302331572 10.1071534663
8064 1.1295182467 2.2783068264 5.1909264252 4.5891382184 -0.3411107504 5.7961666964 9.587531752 9.4335119634 7.8288264716 12.0551454363
8065 1.4694328675 6.0415881914 5.3471912926 6.1228370951 4.9492074605 6.2438319742 11.1970598815 7.8015602257 14.4198127128 5.1067713424
8066 1.1005677992 5.3598629388 4.3335651975 7.1718635396 3.5140173476 5.8390857056 7.2691876602 8.8257571356 -1.2126928892 3.1577932417
8067 3.079173598 3.2860099314 5.1861926657 8.9024617955 5.7322401642 7.7167241994 8.2503547853 13.5922306627 5.4120518114 4.9536928436
8068 1.4940753495 2.7969679294 7.1946665741 8.8725410685 6.162601723 6.2591043243 5.4767726331 8.5173758192 1.6494414728 4.9098598267
8069 1.7469004115 6.1161375975 5.1638468664 4.1106657658 4.5564564932 6.6904508958 5.055666121 12.7634114792 15.8521361886 9.6310612505
8070 0.2350976719 2.7934518131 4.5880871753 4.9599798397 4.1895448223 5.9865715299 8.9810169155 12.0778273315 6.5712908941 -1.0303925818
8071 2.509856686 3.2262523512 5.168102432 3.5090759409 3.1421069112 7.3313842342 8.0115586062 11.902704801 4.2841942528 3.3384231905
8072 2.7283340614 0.4850319432 3.2424228865 4.6359716009 4.9439604986 3.5687385417 1.2526569317 11.743293438 11.1156573574 1.4077108072
8073 1.0579849142 2.7040505881 3.6981046231 5.2262029588 5.5649933425 4.5788174625 6.5167044608 5.8638496728 1.8575047321 8.9010279063
8074 1.6954125331 5.8556203049 4.5649500786 6.8139226035 7.2399733673 3.9373732452 4.5983694298 9.5986959859 4.2582129718 6.1786016174
8075 2.9140843364 3.0552630882 6.6355594958 4.796173451 5.5874016025 5.3228524522 10.968523395 4.826854559 8.6628949197 1.4751732415
8076 2.8248971795 3.9889233494 3.6288297856 7.6357704129 4.8666019894 4.413165463 7.1914536984 8.1987595459 2.3758451369 -3.8071572906
8077 1.7246188855 4.0573400701 7.4766924075 7.4599125381 4.5283178229 0.8044291483 7.0141071486 11.014208645 0.2984575859 3.2945152449
8078 1.2876756603 3.3578218912 3.1420606365 5.7938508751 4.0023728252 2.0763787724 8.0877793719 5.8519775462 13.9484019541 9.6051589925
8079 0.854380245 2.3566990387 5.2965589056 8.2908663925 2.7513727289 6.2378351654 13.6695527874 15.3012081922 6.9999170304 3.3013944534
8080 0.5831962975 -0.986778134 5.7561615223 7.9169638341 1.5898191933 2.5275678124 1.735462595 10.7224472807 0.502198276 3.659580061
8081 1.2452952733 0.5308147647 5.8325068527 4.3465957632 2.93885242 4.8007363819 6.9141420097 6.1174547073 11.711742927 6.8066661769
8082 2.2289016623 2.8591482469 5.6194394133 5.7810471065 4.1541532534 2.8164026436 12.2854141019 15.414622036 13.2655822997 4.3165302813
8083 2.0499120624 0.9363003409 5.3555382882 4.1931750125 5.7152903785 7.5603406231 10.4160216297 11.6969368055 9.494502491 9.1366088445
8084 3.1710584113 4.0047125545 11.1701559601 7.7936009118 5.044784818 6.0918240494 10.5564866578 18.6677783331 10.0022956884 7.7700595808
8085 1.8870229485 0.9252073278 3.1015590979 3.1537835641 4.3814394222 6.8316282464 10.3253548163 15.4452664204 8.2387691969 4.4263132953
8086 1.5219664 3.6871581058 3.6100335192 5.746301992 3.0177665777 3.880688108 2.9030306492 12.9623253297 9.3369991077 5.5524996343
8087 0.4521688208 4.8802430221 8.7323630799 6.9879321282 4.4803253293 3.6429345571 8.1930830643 6.5638545984 11.0021226421 12.8956729663
8088 4.0305897052 3.9876730024 3.7731209114 8.4371333807 5.0025635096 3.7048560653 9.0590239773 12.7583618677 5.6594429725 3.047253987
8089 4.045972548 1.8987857651 6.3779089713 9.0553584246 7.4730781308 6.9800168806 7.9797761837 7.7277341744 -1.10204925 15.674628082
8090 0.9185786113 6.0191859081 2.956912716 3.9205477787 1.2131209625 3.5878911007 8.6965112895 10.9805219205 6.8172555288 2.9151267729
8091 3.3330408845 1.3228407583 3.8905524633 3.9959654052 2.9547215781 2.0831853628 7.1649353591 10.9498717123 11.5048413777 1.9607123919
8092 0.881721304 4.1539153029 5.5909187569 4.3007628403 1.6838856229 6.7112235006 3.4714146798 6.9001597581 1.3881686459 0.1531747323
8093 1.2719521864 3.3919534886 6.2070596473 5.2682152503 5.6712678964 5.8565479443 5.1151807019 10.7472951458 10.8850270988 1.4818311174
8094 4.1548997985 5.4347741431 4.4700350516 5.2543308268 6.2769835735 5.0647967885 11.0774918711 15.6903035815 2.731234075 6.7558762707
8095 1.4564271033 3.328521122 3.0225693852 5.3573552831 3.2672691703 3.3420597906 5.8276675477 9.4934363886 11.4781597431 8.2824072094
8096 1.6835836618 2.2969778742 2.9298653252 6.2252714487 5.2256873347 7.3927873451 7.0153031406 13.2826759445 7.4720487335 6.5271066441
8097 1.5670568404 0.286621551 5.9265551017 6.4889144737 5.8826069961 5.2969737474 12.6425783488 10.1100873487 7.4697296962 12.7941973523
8098 1.7583811783 1.0117884399 2.8852097261 3.1289582263 4.3643213582 4.6403710297 3.42928611 7.353646346 -1.0215961719 3.3153173646
8099 1.6188142763 3.5325969027 -0.0439433503 3.0360121718 6.0060751847 4.6072624695 5.4971352667 14.1780075467 5.0298085676 5.5968200849
8100 0.8785031345 2.8341132749 5.8376065062 5.7379176404 1.1527679036 4.5635682017 4.4324625425 12.4061539621 10.2535807864 0.1871917605
8101 1.2564589579 1.6822305269 3.2372836382 3.2588637136 5.126336189 4.2931610531 10.0394356688 4.7146089654 9.5297022298 2.6500594371
8102 1.6886426609 3.3090768497 2.4831757602 5.5166526241 5.8678565 3.9336622725 9.3048160009 10.0097585849 -3.4025174944 0.3103447984
8103 1.5556168946 2.4008635537 4.9356192122 5.1503684134 7.5464658917 3.4352511487 10.8606850731 8.8316089956 4.8125570302 3.6083828534
8104 1.7845851447 1.5148881157 5.0114503313 3.3646152755 7.3178608661 4.2071717725 2.3065906074 8.5705203894 12.5093830575 0.698791042
8105 3.3742599855 8.543077093 4.714232808 3.7576851826 3.5143627506 3.5286392123 5.3223901152 7.9429693418 12.7223242923 3.4168511753
8106 3.4946074606 4.0213825005 0.9401542783 2.052600725 3.4951885493 5.253838299 9.9394478703 7.6188192184 3.7211530891 1.9015087082
8107 0.4876243967 -1.9894114952 6.5295645029 3.7371346551 3.9924972717 -0.2904922695 11.4784109774 8.0296140341 -3.716686639 -1.4291967374
8108 0.7195809186 1.6724717048 4.1831786081 5.3319386598 1.9413803773 4.5403057642 13.317458423 2.2280016471 7.3655556796 5.7183452436
8109 1.8935244952 2.7252714436 4.0280870961 3.5258394928 2.0612549127 1.9541457249 8.4491332019 6.289936793 13.4086006556 -1.7039965404
8110 3.9427823124 1.6087806369 8.765276054 6.2792340451 4.1828492777 3.4437621222 10.909549067 4.8917197598 8.0772025887 10.2447663123
8111 3.8549878096 3.1345452965 4.7952070081 6.9074048045 6.5358233302 4.732152587 10.213185595 8.5335156445 8.3980149789 8.5303255839
8112 2.2766723352 6.2744585633 4.4816931522 5.3801158317 3.9499541808 4.8240179943 4.511117786 4.6090609136 12.7433198241 7.1552585564
8113 1.3784408095 2.4162912307 3.9616195155 4.6893855103 5.134917251 3.8289984123 10.6574721355 2.3818262983 8.872722564 7.8581826358
8114 1.5761191465 3.2713634369 3.3291788534 6.1991284772 3.1748068489 6.2547794293 5.1031292382 3.4277682759 9.4375234625 10.1973066576
8115 2.5553037785 0.4129567085 2.9232953549 1.0995323135 5.7677945728 4.2481362916 7.3973182936 5.3178692887 8.1603997934 3.766813176
8116 1.2241970107 1.966403591 2.2218821918 5.434757533 1.7765873924 4.0006312946 -0.6282539088 8.2081273461 9.7478022433 8.8918221733
8117 1.9055452061 3.1663640721 4.6471124364 2.947707132 5.707845739 3.961431457 4.4851870859 4.2616457149 11.7352952938 10.0843650711
8118 2.5781200866 1.8841185315 4.3022498748 3.9939784491 5.7014181652 3.2230766194 7.8020604865 4.3985386258 1.885366212 11.5348004777
8119 3.4693849351 5.0551566172 4.4220821792 7.8220803381 1.4553534977 1.7530086647 10.7571747007 2.8157637241 8.4305873306 7.069598312
8120 2.8070333921 3.1671029271 5.1886262729 4.3627675493 3.8205680595 3.3479996346 7.8370902215 6.3316805846 10.4396499839 9.3012323952
8121 2.3687859722 3.5433742841 3.5779014029 3.2836072016 5.7949784281 3.4217810233 7.1069076091 1.4785096543 2.7124157298 1.0409077355
8122 4.582956857 3.6249892139 4.2863873485 3.804697031 5.4029737446 4.3630019642 7.6384459172 2.9601975174 22.1865504504 4.7235336485
8123 2.9982178907 0.5225835322 3.2548985233 4.3452993212 5.2863665098 3.3652251427 8.5731234079 5.1092313201 13.7223149498 -1.3318809895
8124 3.7966907698 0.9566428841 3.8682180628 5.4866602745 2.7907648791 1.8969268893 11.2259065806 2.6053505177 1.9286246091 4.5367845848
8125 4.3888673619 3.8876102158 4.6533774129 10.8000087857 5.4169918107 4.6588652818 10.7371191443 12.2013594743 3.0060411286 5.2774737253
8126 2.9557156239 3.576939419 3.1178721415 4.4191725278 3.8665341366 2.2643289647 7.7881513732 1.8744444362 5.6675301741 5.6071927933
8127 2.5990430691 6.081352605 4.028913836 4.1551680263 5.5162941144 4.9068109554 5.8935455613 6.4794620842 5.6747522552 7.265082006
8128 4.4119086104 2.4478989525 4.9585876991 5.1961925057 7.8180174062 4.466229079 8.9263597862 12.1125857028 6.6368254856 4.8039261365
8129 2.5543938836 1.6333590783 3.1675467655 1.1597780249 4.0324417611 4.3174716502 2.8991153879 -0.4504099918 5.9784241017 6.2250263826
8130 4.2585056745 5.0809415278 2.9580747026 3.7914672006 5.4248082364 3.6855757131 8.3360992945 7.9916504375 2.7064778849 6.5769345928
8131 2.1393924787 1.5814382011 2.1201524615 5.1574434255 3.8746995803 4.4088957542 3.4826141502 5.0477133833 9.1644980693 6.8820206838
8132 2.4662693853 7.2310392463 2.3053454344 4.1335237861 5.8925243513 5.3155237686 6.4949111912 5.660321095 7.3998495599 -0.9236543479
8133 2.4605760807 4.7240348319 5.4136037199 4.4241519189 4.5028869055 3.4430719186 4.6583552699 7.2162589022 7.0839438323 7.4922838255
8134 1.132166032 4.0302525691 7.1710793331 5.5154358863 6.626298026 4.7025584271 8.663177256 7.4488844064 10.9840771516 4.0663348531
8135 2.6911499393 4.55863352 5.4549980163 5.7655954415 5.5766117068 1.541743941 11.5731532157 8.0409087787 12.6042272937 1.8260806566
8136 2.1311733961 -1.3235161405 3.7216977427 5.2228983574 5.6809572981 1.7770070035 10.6285474467 1.7321373122 12.9894114954 12.3720052874
8137 5.0044702097 3.3098949831 4.3672824272 5.606604617 6.4787386905 4.377596938 11.568078014 4.4277233908 14.00836105 2.0980322005
8138 2.5466104985 5.0400598935 5.5401158963 4.3895121744 6.7408038411 4.3818710053 9.3216519925 6.566798252 5.1551348723 6.3368825037
8139 1.0753612431 4.1887117027 3.8845719313 3.3563870476 4.9966125845 4.2632841353 4.988268024 10.6912336496 6.9264223137 5.9623902731
8140 2.0624763416 3.85509124 4.7102389023 4.9707680467 3.565730321 4.0772140966 2.5802534129 8.122556308 6.4957954546 5.4043217696
8141 3.9823318124 2.7023268573 3.5219570746 5.7072066028 5.6462045887 7.2158443634 9.5296490498 9.8697145606 14.6036119068 3.6812017536
8142 2.9277911773 4.7669205319 7.5700762281 3.3805638403 1.3723184011 1.9084887137 3.9759247191 10.6164560347 18.7473053859 -1.2629121412
8143 3.0216995115 2.7113233823 6.0297406978 6.4024756755 5.7326160859 4.7993728293 4.8760725493 11.8304509468 12.133097608 7.2564498634
8144 3.3606485854 2.2712715034 4.0873750383 3.4113974879 3.1799139305 1.1234776122 7.553447631 5.3243886863 0.0397137782 0.8208238829
8145 4.1993892216 2.043989382 -0.5977684811 1.6383487918 4.9157388574 4.4485270867 7.309543534 5.821925385 6.8787495863 10.1652102292
8146 5.5135188229 5.0080322156 5.8433558353 7.5581514155 5.2280684914 2.8441038358 11.0831005159 11.0501735507 6.1639033846 3.6868452101
8147 2.1701746768 5.2980591859 1.52413865 2.4237995348 5.6822900861 1.5643955279 8.2299130284 6.84087005 7.0495958251 4.5715240037
8148 1.0017744091 4.1515509125 3.227473193 3.7784299497 3.2835475853 4.372166974 10.4909813452 1.5402597595 3.2246916327 9.6002275462
8149 2.0747912426 2.6770805474 3.4345825694 3.1119553484 3.9731804568 5.7283952447 8.6641317698 11.4949711315 12.078065136 12.3140788912
8150 2.2659413159 5.7972146243 5.0078294508 7.3277617111 5.4248324391 5.2824850836 9.5156332433 8.8138462714 8.5245011399 2.9713578215
8151 3.4765673018 4.4305358682 5.9467298843 4.9524185328 4.6570709703 5.5925752175 9.8327727902 5.7796150814 12.6617952184 6.0976790002
8152 2.1024816137 -0.7995882819 2.200843714 3.7222764598 3.9972648572 4.7118366625 5.6540119341 5.7413925146 4.2825622816 7.8609291333
8153 1.9835848213 4.7263267645 6.3557801739 7.4820771303 5.5272842197 5.4114432995 8.121848043 9.4564619343 12.9567721289 10.942948463
8154 1.1637328547 4.5581715535 2.8761349605 3.5473430027 4.4525112203 3.4135569273 8.9370715027 7.1864445107 0.1446829932 9.95372878
8155 3.5450403838 4.0172549318 6.4064708856 7.9703538798 6.6312103324 4.4776398413 10.9056004583 9.8654146125 12.2670962554 13.7926327514
8156 3.2794096233 5.9693924689 6.1934102885 6.4174059476 5.2356329953 6.3399578294 11.2614602486 8.4420164184 16.641707048 2.2487869728
8157 1.5777827499 3.1771198518 4.1311915079 3.1214309441 5.0059035185 3.6610534595 10.0853092671 8.5316352669 -0.2528620268 4.47779393
8158 2.1314473303 2.219767318 6.0136195867 3.5894016557 7.4461540613 4.7452128343 9.8739245244 4.3199005101 4.6825855433 0.0970061761
8159 1.7575093569 3.4367797788 3.0530944215 3.4866365208 5.0944384897 2.7739069175 4.5283920921 12.5706589557 14.1397028607 5.4652060129
8160 1.4679604848 2.9194619639 6.7718060585 4.9811773153 6.8181937404 4.6285403094 12.1461681055 14.2311224638 13.6733165247 9.2057232838
8161 3.3896301226 3.8834547244 2.559857609 7.0880940804 3.4210012429 1.8598911037 8.2020007539 11.5113034356 13.5461347605 -0.3506994745
8162 3.6687033093 0.6917412814 3.0037402754 3.2818841314 2.6313385746 2.9962082039 10.4271218651 8.7741961204 5.9418901263 2.5539124853
8163 2.6821096149 4.2450962102 9.3102229665 5.5694425796 3.7512005597 2.9766595129 13.7639642796 8.2863981139 13.2598934226 11.7416044286
8164 3.5975860669 -1.2336709091 2.8482505854 5.1021991364 3.0453731135 3.439308525 7.534400372 5.6802497443 7.4059371818 1.4779698833
8165 1.136392988 5.2413310194 1.2431350161 3.8752295963 1.1691486374 1.5763610762 3.6541433243 5.0082204029 9.4693402444 3.3896593961
8166 3.810324434 3.3891589713 5.8880176547 5.075075816 4.6275805802 4.1274894898 12.2540566943 8.7960395967 8.3597119512 9.7139869733
8167 3.4018404529 1.9471259558 5.5398092223 3.9046511192 5.6712323085 3.0756130632 5.9140744563 5.748941774 2.2790885161 0.5519094428
8168 3.3244639947 5.4571308896 2.519725216 8.5144488602 6.8299977754 5.2265485151 3.8544740444 9.4938273158 3.9595133242 4.9906599312
8169 0.4919699742 5.1615041333 3.3514052884 2.7257387448 5.0029866072 1.5011518187 6.360019272 7.2734520057 6.039632214 5.587276211
8170 1.5067143877 7.1635491182 6.2225272938 6.1929779793 6.0658048431 5.0119582389 15.7222581144 6.0748031892 3.3522626205 7.9678208713
8171 1.2840982874 2.2715729491 1.4286241685 7.580255591 6.1112432838 3.7506684026 9.7914278727 12.600211021 6.8877885822 8.4297954012
8172 2.0796115432 3.9247698033 2.2941694233 4.6369575663 3.5053374735 4.327972649 5.6501019398 6.05055744 8.6965654618 5.8772114152
8173 3.5853784428 -0.2232697685 2.3673401134 3.6022902642 3.998854667 0.5699096331 8.502961845 3.2994101203 7.6951596842 -1.2767589182
8174 2.4922651612 4.2068086994 4.313176637 4.5952194278 5.8992782426 3.8633740364 7.8030535552 1.8115857362 2.1283114553 1.7528993922
8175 1.0935882894 4.2397672402 2.7624668028 3.8808261482 3.3113520765 3.4457458706 4.6429665349 7.8365035284 13.0811672543 8.4759200394
8176 2.7120722579 3.1150019741 4.066174199 6.130663115 6.2367865152 7.7500015386 4.9771538269 10.0097721587 8.2675448128 2.4914223943
8177 2.3848278059 2.7771417812 4.5913356637 5.756218474 5.9237956224 2.5678049467 10.8443641524 5.9067484887 9.4320646085 7.9191009913
8178 4.3820831197 4.6423187167 3.061700398 5.0536375461 5.072455783 6.7405070941 7.4051044795 6.0650661884 10.0586972656 7.5368018689
8179 1.6878767601 6.1702564099 6.2771319256 4.138136286 7.4404727402 4.0237581203 10.5445246202 10.4768472026 11.5657590964 14.1883550269
8180 3.3944551611 6.7538367873 5.5064225433 3.5478388313 4.9415642643 7.0891515637 11.9915020209 9.5296175311 6.4696509725 3.0320088739
8181 3.0605959504 4.4225457065 3.2153599958 4.1990419481 4.6202308163 3.6453302352 11.2231084815 6.0900368109 -0.1870615358 10.9913381258
8182 4.0918587766 6.6958352043 4.1089690688 4.0004329568 7.1231026769 3.9261970227 11.3105159372 9.9394496844 10.5855177733 1.7978821359
8183 3.0651923887 4.1791119658 3.1977347981 2.8484793957 6.3219067858 2.6825927697 8.0128760286 3.0125619771 -4.2596288337 2.1793698412
8184 3.0898650829 0.5874914274 1.764139135 5.9931930546 6.8778590538 4.582227114 8.3888099078 4.3272571477 4.7284551685 7.0679147428
8185 4.2535989206 2.362099158 5.6913594505 4.3752800484 4.4116433412 6.2216577814 12.9616870009 8.5290208897 14.9370947916 8.8300856824
8186 2.3832955496 2.2029720328 4.6715519523 2.9437511204 2.1613528184 3.4876088049 5.2934355792 9.1482303337 -0.6966594579 -1.8790272229
8187 2.4490628637 7.3056782665 3.8181296142 4.3255482389 6.196514813 5.1650641639 11.3005013024 9.451998536 10.5479977307 6.5484756879
8188 4.1642440649 5.6713468437 4.8752066302 7.6497598509 3.8724107126 1.8927783856 8.394202881 6.1218110102 5.4127580583 4.7497652893
8189 2.639100105 4.3982113619 6.892322224 3.1951563571 6.429317603 3.6380422431 10.1102348837 6.8557162523 5.6734148178 7.3382129156
8190 2.6577001197 4.0021015554 7.7300230823 8.3350880503 5.4379868576 4.5522562993 5.9207169085 3.7218936526 6.2511892714 5.2382800354
8191 4.3222916575 0.0292422299 4.9891807499 5.2832843548 4.5628992608 3.0710530178 4.7702255904 6.1968021162 9.7087893862 8.7433014873
